epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,1903.55,0.59282,0.49505,0.91368,0.90471,0.82934,0.92982,0.79579,0.64249,0.55191,0.95945,0.000935377,0.000935377,0.000935377
109,1922.62,0.59387,0.50467,0.92439,0.90625,0.84237,0.93134,0.79434,0.64401,0.55242,0.95339,0.000925427,0.000925427,0.000925427
110,1939.94,0.59284,0.49248,0.91542,0.86979,0.85845,0.92927,0.79587,0.64707,0.56006,0.95086,0.000915477,0.000915477,0.000915477
111,1957.51,0.59101,0.50122,0.92126,0.89206,0.84839,0.92797,0.80257,0.63633,0.57716,0.94239,0.000905528,0.000905528,0.000905528
112,1975.1,0.58606,0.49009,0.91215,0.89099,0.86167,0.93252,0.80581,0.6323,0.54924,0.94959,0.000895578,0.000895578,0.000895578
113,1992.99,0.57936,0.48416,0.91227,0.89513,0.84842,0.92588,0.7961,0.63782,0.5704,0.95186,0.000885628,0.000885628,0.000885628
114,2010.26,0.58695,0.49635,0.91731,0.8854,0.86099,0.9279,0.79801,0.62064,0.5517,0.93868,0.000875678,0.000875678,0.000875678
115,2027.15,0.57602,0.47775,0.90635,0.91672,0.8243,0.92667,0.79817,0.63614,0.55273,0.94783,0.000865729,0.000865729,0.000865729
116,2043.88,0.57299,0.47531,0.9114,0.89056,0.84156,0.92846,0.80729,0.627,0.57334,0.94005,0.000855779,0.000855779,0.000855779
117,2060.95,0.5841,0.48335,0.91149,0.89423,0.84438,0.92671,0.79954,0.64257,0.56691,0.9568,0.000845829,0.000845829,0.000845829
118,2078.02,0.57165,0.48377,0.90557,0.88142,0.85827,0.92753,0.79904,0.63931,0.55365,0.96182,0.000835879,0.000835879,0.000835879
119,2095.46,0.57052,0.47681,0.90703,0.87186,0.86345,0.92465,0.79894,0.60353,0.55257,0.939,0.00082593,0.00082593,0.00082593
120,2113.24,0.57675,0.47342,0.91157,0.89641,0.84278,0.92727,0.79756,0.62851,0.54706,0.9449,0.00081598,0.00081598,0.00081598
121,2130.32,0.57357,0.47875,0.90675,0.88793,0.86707,0.93086,0.81013,0.62425,0.53595,0.95004,0.00080603,0.00080603,0.00080603
122,2147.83,0.57582,0.48076,0.91777,0.8887,0.84976,0.92768,0.80294,0.6151,0.557,0.93745,0.00079608,0.00079608,0.00079608
123,2167.89,0.56002,0.47405,0.90585,0.88874,0.85241,0.92934,0.80917,0.60823,0.54895,0.93395,0.000786131,0.000786131,0.000786131
124,2184.82,0.57037,0.47323,0.91068,0.88841,0.86327,0.92906,0.80731,0.60965,0.5583,0.93495,0.000776181,0.000776181,0.000776181
125,2201.6,0.56634,0.47105,0.9092,0.89359,0.84438,0.92656,0.8031,0.61434,0.56219,0.93457,0.000766231,0.000766231,0.000766231
126,2218.42,0.5703,0.47608,0.91055,0.89327,0.85341,0.92887,0.81301,0.60279,0.54455,0.93985,0.000756281,0.000756281,0.000756281
